116	tt0971209	A Perfect Getaway	A Perfect Getaway (2009)	6.5	Action,Adventure,Mystery,Thriller
117	tt2191082	A Promise	A Promise (2013)	5.7	Action,Drama,Music,Romance
118	tt0102749	A Rage in Harlem	A Rage in Harlem (1991)	5.9	Action,Comedy,Crime
119	tt0105265	A River Runs Through It	A River Runs Through It (1992)	7.3	Action,Drama
120	tt0405296	A Scanner Darkly	A Scanner Darkly (2006)	7.1	Action,Animation,Crime,Drama,Mystery,Sci-Fi,Thriller
121	tt1273235	A Serbian Film	A Serbian Film (2010)	5.2	Action,Crime,Drama,Horror,Mystery,Thriller
122	tt1540741	A Single Shot	A Single Shot (2013)	5.8	Action,Crime,Drama,Thriller
123	tt0763831	A Thousand Words	A Thousand Words (2012)	5.9	Action,Comedy,Drama
124	tt0117913	A Time to Kill	A Time to Kill (1996)	7.4	Action,Crime,Drama,Thriller
125	tt1268799	A Very Harold & Kumar 3D Christmas	A Very Harold & Kumar 3D Christmas (2011)	6.3	Action,Adventure,Comedy
126	tt0090264	A View to a Kill	A View to a Kill (1985)	6.3	Action,Adventure,Thriller
127	tt0365907	A Walk Among the Tombstones	A Walk Among the Tombstones (2014)	6.5	Action,Crime,Drama,Mystery,Thriller
128	tt0281358	A Walk to Remember	A Walk to Remember (2002)	7.4	Action,Drama,Family,Music,Romance
129	tt1600195	Abduction	Abduction (2011)	5.1	Action,Mystery,Thriller
130	tt0276751	About a Boy	About a Boy (2002)	7.1	Action,Comedy,Drama,Romance
131	tt2667918	About Alex	About Alex (2014)	6.4	Action,Drama
132	tt1945062	About Cherry	About Cherry (2012)	4.8	Action,Drama
133	tt1826590	About Last Night	About Last Night (2014)	6.1	Action,Comedy,Romance
134	tt2194499	About Time	About Time (2013)	7.8	Action,Comedy,Drama,Fantasy,Romance,Sci-Fi
135	tt0020620	Abraham Lincoln	Abraham Lincoln (1930)	5.8	Action,Biography,Drama,History,War
136	tt1611224	Abraham Lincoln: Vampire Hunter	Abraham Lincoln: Vampire Hunter (2012)	5.9	Action,Fantasy,Horror,Thriller,Western
137	tt2246549	Abraham Lincoln vs. Zombies	Abraham Lincoln vs. Zombies (2012)	3.1	Action,Comedy,Horror
138	tt1610996	Absentia	Absentia (2011)	5.8	Action,Drama,Horror,Mystery
139	tt3503840	Mercenary: Absolution	Mercenary: Absolution (2015)	4.5	Action,Adventure,Crime,Thriller
140	tt0061328	Accident	Accident (1967)	7.1	Action,Crime,Drama
141	tt0043338	Ace in the Hole	Ace in the Hole (1951)	8.2	Action,Drama,Film-Noir
142	tt0109040	Ace Ventura: Pet Detective	Ace Ventura: Pet Detective (1994)	6.9	Action,Comedy
143	tt0112281	Ace Ventura: When Nature Calls	Ace Ventura: When Nature Calls (1995)	6.3	Action,Adventure,Comedy,Crime
144	tt1311060	A.C.O.D.	A.C.O.D. (2013)	5.7	Action,Comedy
145	tt0068168	Across 110th Street	Across 110th Street (1972)	7	Action,Crime,Drama,Thriller
146	tt0445922	Across the Universe	Across the Universe (2007)	7.4	Action,Drama,Fantasy,Musical,Romance
147	tt1591479	Act of Valor	Act of Valor (2012)	6.5	Action,Adventure,Drama,Thriller,War
148	tt0094612	Action Jackson	Action Jackson (1988)	5.2	Action,Comedy,Crime,Thriller
149	tt0268126	Adaptation.	Adaptation. (2002)	7.7	Action,Comedy,Drama
150	tt1814621	Admission	Admission (2013)	5.7	Action,Comedy,Drama,Romance
151	tt2103267	Adore	Adore (2013)	6.2	Action,Drama,Romance
152	tt2565280	Adormidera	Adormidera (2013)	4.1	Action,Adventure,Fantasy
153	tt1091722	Adventureland	Adventureland (2009)	6.8	Action,Comedy,Drama,Romance
154	tt0402022	Æon Flux	Æon Flux (2005)	5.5	Action,Sci-Fi
155	tt1223236	African Cats	African Cats (2011)	7.6	Action,Adventure,Documentary
156	tt1799508	After	After (2012)	5.5	Action,Drama,Fantasy,Horror,Mystery,Thriller
157	tt1815862	After Earth	After Earth (2013)	4.9	Action,Adventure,Sci-Fi
158	tt1928340	After the Dark	After the Dark (2013)	5.7	Action,Drama,Fantasy,History,Sci-Fi,Thriller
159	tt2312890	Afternoon Delight	Afternoon Delight (2013)	5.8	Action,Comedy,Drama
160	tt2475846	Against the Wild	Against the Wild (2013)	4.7	Action,Adventure,Family
161	tt2518926	Age of Dinosaurs	Age of Dinosaurs (2013)	2.8	Action,Sci-Fi
162	tt3924510	Age of Ice	Age of Ice (2014)	1.8	Action,Adventure,Sci-Fi
163	tt3677466	Age of Tomorrow	Age of Tomorrow (2014)	2	Action,Sci-Fi,Thriller
164	tt1186830	Agora	Agora (2009)	7.2	Action,Adventure,Biography,Drama,History,Romance
165	tt0212720	A.I. Artificial Intelligence	A.I. Artificial Intelligence (2001)	7.1	Action,Adventure,Drama,Sci-Fi
166	tt2388637	Ain't Them Bodies Saints	Ain't Them Bodies Saints (2013)	6.4	Action,Crime,Drama,Romance
167	tt0118571	Air Force One	Air Force One (1997)	6.5	Action,Adventure,Drama,Romance,Thriller
168	tt1610528	Airline Disaster	Airline Disaster (2010)	2.6	Action,Thriller
169	tt3417334	Airplane vs. Volcano	Airplane vs. Volcano (2014)	2.6	Action,Adventure,Sci-Fi,Thriller
170	tt0103639	Aladdin	Aladdin (1992)	8	Action,Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance
171	tt0469021	Alan Partridge	Alan Partridge (2013)	6.9	Action,Comedy,Crime
172	tt1712170	Alex Cross	Alex Cross (2012)	5.1	Action,Crime,Mystery,Thriller
173	tt0457495	Alex Rider: Operation Stormbreaker	Alex Rider: Operation Stormbreaker (2006)	5.1	Action,Adventure,Family,Thriller
174	tt0346491	Alexander	Alexander (2004)	5.6	Action,Adventure,Biography,Drama,History,Romance,War
175	tt1698641	Alexander and the Terrible, Horrible, No Good, Very Bad Day	Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)	6.2	Action,Comedy,Family
176	tt0248667	Ali	Ali (2001)	6.8	Action,Biography,Drama,History,Sport
177	tt0043274	Alice in Wonderland	Alice in Wonderland (1951)	7.4	Action,Adventure,Animation,Family,Fantasy,Musical
178	tt1014759	Alice in Wonderland	Alice in Wonderland (2010)	6.5	Action,Adventure,Family,Fantasy
179	tt0167758	Alice Through the Looking Glass	Alice Through the Looking Glass (1998)	5.6	Family,Fantasy
180	tt0078748	Alien	Alien (1979)	8.5	Action,Horror,Sci-Fi
181	tt2510434	Alien Abduction	Alien Abduction (2014)	4.9	Action,Horror,Sci-Fi,Thriller
182	tt2474972	Alien Outpost	Alien Outpost (2014)	4.8	Action,Sci-Fi,Thriller
183	tt0118583	Alien: Resurrection	Alien: Resurrection (1997)	6.2	Action,Horror,Sci-Fi
184	tt2349142	Alien Showdown: The Day the Old West Stood Still	Alien Showdown: The Day the Old West Stood Still (2013)	2	Action,Adventure,Horror,Sci-Fi,Western
185	tt0103644	Alien³	Alien³ (1992)	6.4	Action,Horror,Sci-Fi
186	tt0090605	Aliens	Aliens (1986)	8.4	Action,Adventure,Horror,Sci-Fi,Thriller
187	tt0775552	Aliens in the Attic	Aliens in the Attic (2009)	5.4	Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi
188	tt2593392	Alive Inside	Alive Inside (2014)	8.2	Action,Documentary,News
189	tt0881891	All About Steve	All About Steve (2009)	4.8	Action,Adventure,Comedy,Romance
190	tt2527186	All Cheerleaders Die	All Cheerleaders Die (2013)	5.1	Action,Comedy,Fantasy,Horror
191	tt3411432	All Creatures Big and Small	All Creatures Big and Small (2015)	5.8	Action,Adventure,Animation,Comedy
192	tt2900624	All Hallows' Eve	All Hallows' Eve (2013)	4.9	Action,Horror,Thriller
193	tt1462901	All Is Bright	All Is Bright (2013)	5.6	Action,Comedy,Drama
194	tt1699114	All-Star Superman	All-Star Superman (2011)	7	Action,Animation,Sci-Fi
195	tt0047811	All That Heaven Allows	All That Heaven Allows (1955)	7.7	Action,Drama,Romance
196	tt2095568	All Things to All Men	All Things to All Men (2013)	4.4	Action,Crime,Thriller
197	tt0092534	Allan Quatermain and the Lost City of Gold	Allan Quatermain and the Lost City of Gold (1986)	4.4	Action,Adventure,Comedy
198	tt0181875	Almost Famous	Almost Famous (2000)	7.9	Action,Adventure,Comedy,Drama,Music,Romance
199	tt2325517	Almost Human	Almost Human (2013)	4.6	Action,Horror,Sci-Fi,Thriller
200	tt2375597	Almost Married	Almost Married (2014)	4.5	Action,Comedy
201	tt1243974	Aloha	Aloha (2015)	5.4	Action,Comedy,Drama,Romance
202	tt0433771	Aloha, Scooby-Doo!	Aloha, Scooby-Doo! (2005)	6.5	Action,Adventure,Animation,Comedy,Family,Mystery
203	tt3120508	Alone for Christmas	Alone for Christmas (2013)	3.5	Action,Comedy,Family,Fantasy
204	tt0164334	Along Came a Spider	Along Came a Spider (2001)	6.3	Action,Crime,Drama,Thriller
205	tt0343135	Along Came Polly	Along Came Polly (2004)	5.9	Action,Comedy,Romance
206	tt0426883	Alpha Dog	Alpha Dog (2006)	6.9	Action,Biography,Crime,Drama
207	tt3307774	Alpha House	Alpha House (2014)	3.7	Action,Comedy
208	tt3484800	Altar	Altar (2014)	5.5	Action,Horror,Mystery
209	tt1907614	Alter Egos	Alter Egos (2012)	5.2	Action,Comedy
210	tt2404171	Altman	Altman (2014)	6.8	Action,Documentary
211	tt1615918	Alvin and the Chipmunks: Chipwrecked	Alvin and the Chipmunks: Chipwrecked (2011)	4.4	Action,Adventure,Animation,Comedy,Family,Fantasy,Music
212	tt0096794	Always	Always (1989)	6.4	Action,Drama,Fantasy,Romance
213	tt0086879	Amadeus	Amadeus (1984)	8.3	Action,Biography,Drama,History,Music
214	tt2497808	Ambushed	Ambushed (2013)	3.9	Action,Crime,Drama
